time,track_id,label,similarity,x1,y1,x2,y2,area_ratio
Wed Dec  3 11:35:11 2025,10,FRIEND,0.620,474,28,639,479,0.24224
Wed Dec  3 11:35:12 2025,1,HUMAN,0.000,376,172,639,479,0.26283
Wed Dec  3 11:35:12 2025,9,HUMAN,0.000,0,383,58,479,0.01812
Wed Dec  3 11:35:13 2025,1,HUMAN,0.000,413,185,639,479,0.21629
Wed Dec  3 11:35:13 2025,9,HUMAN,0.000,0,384,63,479,0.01948
Wed Dec  3 11:35:14 2025,1,HUMAN,0.000,410,185,639,479,0.21916
Wed Dec  3 11:35:14 2025,9,HUMAN,0.000,0,386,63,479,0.01907
Wed Dec  3 11:35:15 2025,1,HUMAN,0.000,413,173,639,479,0.22512
Wed Dec  3 11:35:16 2025,1,HUMAN,0.000,408,178,639,479,0.22634
Wed Dec  3 11:35:17 2025,1,HUMAN,0.000,394,179,639,479,0.23926
Wed Dec  3 11:35:18 2025,1,HUMAN,0.000,410,196,639,479,0.21096
Wed Dec  3 11:35:19 2025,9,HUMAN,0.000,0,319,80,479,0.04167
Wed Dec  3 11:35:20 2025,11,HUMAN,0.000,600,190,639,477,0.03644
Wed Dec  3 11:35:20 2025,12,HUMAN,0.000,385,406,472,479,0.02067
Wed Dec  3 11:35:21 2025,9,HUMAN,0.000,0,308,85,479,0.04731
Wed Dec  3 11:35:22 2025,9,HUMAN,0.000,0,320,64,479,0.03312
Wed Dec  3 11:35:33 2025,13,HUMAN,0.088,273,288,377,479,0.06466
Wed Dec  3 11:35:33 2025,14,HUMAN,0.000,0,319,42,477,0.02160
Wed Dec  3 11:35:33 2025,14,HUMAN,0.000,0,321,45,477,0.02285
Wed Dec  3 11:35:33 2025,14,HUMAN,0.000,0,319,45,477,0.02314
Wed Dec  3 11:35:33 2025,14,HUMAN,0.000,0,317,46,478,0.02411
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,315,48,478,0.02547
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,317,48,479,0.02531
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,314,49,479,0.02632
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,316,49,479,0.02600
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,315,49,479,0.02616
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,314,49,479,0.02632
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,314,48,479,0.02578
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,316,48,479,0.02547
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,314,47,478,0.02509
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,316,47,478,0.02479
Wed Dec  3 11:35:34 2025,14,HUMAN,0.000,0,317,45,478,0.02358
Wed Dec  3 11:35:35 2025,14,HUMAN,0.000,0,321,42,477,0.02133
Wed Dec  3 11:35:35 2025,14,HUMAN,0.000,0,326,38,478,0.01880
Wed Dec  3 11:35:36 2025,15,HUMAN,0.082,323,309,421,479,0.05423
Wed Dec  3 11:35:43 2025,16,HUMAN,0.102,242,284,361,479,0.07554
Wed Dec  3 11:35:46 2025,17,HUMAN,0.063,227,307,342,479,0.06439
Wed Dec  3 11:35:51 2025,18,HUMAN,0.000,257,320,345,479,0.04555
Wed Dec  3 11:35:52 2025,19,HUMAN,0.049,57,370,192,479,0.04790
Wed Dec  3 11:35:53 2025,19,FOE,0.050,40,360,158,479,0.04571
Wed Dec  3 11:35:54 2025,20,HUMAN,0.000,0,328,32,456,0.01333
Wed Dec  3 11:35:55 2025,20,HUMAN,0.000,0,316,36,479,0.01910
Wed Dec  3 11:35:55 2025,20,HUMAN,0.000,0,321,47,478,0.02402
Wed Dec  3 11:35:55 2025,20,HUMAN,0.000,0,317,52,479,0.02742
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,323,60,479,0.03047
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,363,54,479,0.02039
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,363,53,479,0.02001
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,364,53,479,0.01984
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,364,52,479,0.01947
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,365,52,479,0.01930
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,366,51,479,0.01876
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,366,49,479,0.01802
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,370,47,479,0.01668
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,370,45,479,0.01597
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,370,40,479,0.01419
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,367,32,479,0.01167
Wed Dec  3 11:35:56 2025,20,HUMAN,0.000,0,363,25,479,0.00944
Wed Dec  3 11:35:58 2025,21,HUMAN,0.000,602,172,639,460,0.03469
Wed Dec  3 11:35:59 2025,21,HUMAN,0.000,551,190,639,479,0.08279
Wed Dec  3 11:35:59 2025,21,HUMAN,0.000,556,136,639,479,0.09267
Wed Dec  3 11:36:00 2025,21,HUMAN,0.000,518,149,639,479,0.12998
